192.168.1.106 - - [25/Oct/2018:04:47:10 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 14187
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=primefaces&v=6.1 HTTP/1.1" 200 78662
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24378
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Adicionar_Curso.jpg.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=images HTTP/1.1" 200 6382
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Adicionar_Turma.png.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=images HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:04 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Usuario.png.xhtml;jsessionid=560FB58535D038022DB772B7C67A8DEE?ln=images HTTP/1.1" 200 5113
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:05 -0300] "GET /SalaDeAula_Project/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:05 -0300] "GET /SalaDeAula_Project/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:06 -0300] "GET /SalaDeAula_Project/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:16 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 14187
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:16 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:16 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:16 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=primefaces&v=6.1 HTTP/1.1" 200 78662
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:17 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:17 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:17 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Adicionar_Curso.jpg.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=images HTTP/1.1" 200 6382
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:17 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:17 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Adicionar_Turma.png.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=images HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:17 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Usuario.png.xhtml;jsessionid=D52A6A80F57494F47D0600E1DE4893B1?ln=images HTTP/1.1" 200 5113
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:51:17 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 13000
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
